// --------------------------------------------------------------------------
// Licensed Materials - Property of IBM
//
// 5725-A06 5725-A29 5724-Y48 5724-Y49 5724-Y54 5724-Y55
// Copyright IBM Corporation 1998, 2013. All Rights Reserved.
//
// Note to U.S. Government Users Restricted Rights:
// Use, duplication or disclosure restricted by GSA ADP Schedule
// Contract with IBM Corp.
// --------------------------------------------------------------------------

NbTasks = 122;
NbRsrcs = 4;

Capacity = [ 13, 13, 13, 12 ]; 

Tasks = { 
  < 1, 0, [ 0, 0, 0, 0 ], { 2, 3, 4 } >,
  < 2, 1, [ 0, 0, 3, 0 ], { 5, 6, 29 } >,
  < 3, 5, [ 0, 0, 1, 0 ], { 25 } >,
  < 38, 10, [ 8, 0, 0, 0 ], { 51, 115 } >,
  < 39, 6, [ 0, 0, 9, 0 ], { 90, 93 } >,
  < 40, 8, [ 0, 0, 4, 0 ], { 64 } >,
  < 41, 7, [ 0, 0, 7, 0 ], { 66, 104 } >,
  < 42, 8, [ 0, 7, 0, 0 ], { 46, 81 } >,
  < 43, 6, [ 0, 0, 0, 4 ], { 48, 56, 57 } >,
  < 44, 9, [ 0, 6, 0, 0 ], { 79, 97, 119 } >,
  < 45, 7, [ 5, 0, 0, 0 ], { 87 } >,
  < 46, 9, [ 0, 0, 0, 2 ], { 120 } >,
  < 47, 1, [ 0, 8, 0, 0 ], { 51 } >,
  < 48, 10, [ 0, 0, 0, 6 ], { 54 } >,
  < 49, 8, [ 4, 0, 0, 0 ], { 111 } >,
  < 50, 5, [ 0, 8, 0, 0 ], { 105 } >,
  < 51, 7, [ 0, 0, 0, 2 ], { 107 } >,
  < 52, 4, [ 0, 0, 5, 0 ], { 58 } >,
  < 53, 1, [ 9, 0, 0, 0 ], { 78 } >,
  < 54, 9, [ 0, 0, 0, 4 ], { 60, 61 } >,
  < 55, 4, [ 0, 0, 0, 8 ], { 67, 68, 72 } >,
  < 56, 4, [ 0, 0, 0, 7 ], { 103 } >,
  < 57, 2, [ 0, 0, 0, 9 ], { 91 } >,
  < 58, 4, [ 10, 0, 0, 0 ], { 102 } >,
  < 59, 1, [ 0, 0, 0, 3 ], { 79 } >,
  < 60, 6, [ 0, 0, 0, 5 ], { 74 } >,
  < 61, 4, [ 0, 0, 8, 0 ], { 65, 71 } >,
  < 62, 2, [ 0, 0, 0, 2 ], { 82 } >,
  < 63, 4, [ 0, 3, 0, 0 ], { 104, 118 } >,
  < 64, 1, [ 0, 0, 0, 3 ], { 89 } >,
  < 65, 5, [ 6, 0, 0, 0 ], { 106 } >,
  < 66, 6, [ 0, 2, 0, 0 ], { 111 } >,
  < 67, 5, [ 0, 0, 4, 0 ], { 87 } >,
  < 68, 6, [ 0, 10, 0, 0 ], { 85, 108 } >,
  < 69, 10, [ 0, 4, 0, 0 ], { 84 } >,
  < 70, 9, [ 0, 0, 1, 0 ], { 81 } >,
  < 71, 4, [ 0, 10, 0, 0 ], { 77, 92, 98 } >,
  < 72, 1, [ 0, 6, 0, 0 ], { 84 } >,
  < 73, 7, [ 0, 0, 5, 0 ], { 86 } >,
  < 74, 2, [ 0, 0, 6, 0 ], { 95, 121 } >,
  < 75, 8, [ 0, 8, 0, 0 ], { 111 } >,
  < 76, 10, [ 0, 2, 0, 0 ], { 87 } >,
  < 77, 3, [ 0, 5, 0, 0 ], { 81 } >,
  < 78, 4, [ 0, 7, 0, 0 ], { 107, 113 } >,
  < 79, 8, [ 0, 0, 5, 0 ], { 107 } >,
  < 80, 10, [ 3, 0, 0, 0 ], { 93 } >,
  < 81, 5, [ 0, 0, 0, 5 ], { 99 } >,
  < 82, 2, [ 0, 3, 0, 0 ], { 90 } >,
  < 83, 8, [ 7, 0, 0, 0 ], { 106 } >,
  < 84, 6, [ 0, 0, 7, 0 ], { 88 } >,
  < 85, 7, [ 0, 0, 0, 2 ], { 95 } >,
  < 86, 5, [ 0, 0, 0, 9 ], { 102, 117 } >,
  < 87, 4, [ 5, 0, 0, 0 ], { 88 } >,
  < 88, 10, [ 0, 9, 0, 0 ], { 108 } >,
  < 89, 8, [ 6, 0, 0, 0 ], { 105, 108 } >,
  < 90, 8, [ 0, 0, 3, 0 ], { 101 } >,
  < 91, 2, [ 0, 0, 8, 0 ], { 109 } >,
  < 92, 1, [ 0, 0, 0, 7 ], { 113 } >,
  < 93, 2, [ 0, 0, 0, 10 ], { 115 } >,
  < 94, 3, [ 0, 0, 0, 6 ], { 104 } >,
  < 95, 6, [ 0, 0, 9, 0 ], { 103 } >,
  < 96, 7, [ 0, 4, 0, 0 ], { 109 } >,
  < 97, 3, [ 0, 0, 9, 0 ], { 120 } >,
  < 98, 5, [ 0, 0, 0, 6 ], { 102 } >,
  < 99, 8, [ 0, 0, 0, 2 ], { 116 } >,
  < 100, 2, [ 0, 0, 5, 0 ], { 103 } >,
  < 101, 5, [ 1, 0, 0, 0 ], { 112 } >,
  < 102, 4, [ 0, 10, 0, 0 ], { 119 } >,
  < 103, 2, [ 1, 0, 0, 0 ], { 117 } >,
  < 104, 2, [ 0, 0, 8, 0 ], { 105 } >,
  < 105, 4, [ 5, 0, 0, 0 ], { 114 } >,
  < 106, 8, [ 0, 9, 0, 0 ], { 115, 119 } >,
  < 107, 7, [ 0, 9, 0, 0 ], { 110 } >,
  < 108, 8, [ 0, 0, 8, 0 ], { 114 } >,
  < 109, 7, [ 0, 4, 0, 0 ], { 113 } >,
  < 110, 7, [ 0, 0, 0, 1 ], { 112 } >,
  < 111, 6, [ 0, 0, 4, 0 ], { 121 } >,
  < 112, 10, [ 0, 0, 1, 0 ], { 118 } >,
  < 113, 2, [ 0, 0, 0, 4 ], { 116 } >,
  < 114, 2, [ 0, 0, 0, 2 ], { 116 } >,
  < 115, 6, [ 0, 0, 0, 7 ], { 117 } >,
  < 116, 9, [ 8, 0, 0, 0 ], { 121 } >,
  < 117, 10, [ 0, 1, 0, 0 ], { 118 } >,
  < 118, 3, [ 1, 0, 0, 0 ], { 120 } >,
  < 119, 3, [ 0, 0, 0, 2 ], { 122 } >,
  < 120, 5, [ 0, 0, 0, 2 ], { 122 } >,
  < 121, 8, [ 0, 0, 0, 4 ], { 122 } >,
  < 122, 0, [ 0, 0, 0, 0 ], {  } >
 }; 

