// --------------------------------------------------------------------------
// Licensed Materials - Property of IBM
//
// 5725-A06 5725-A29 5724-Y48 5724-Y49 5724-Y54 5724-Y55
// Copyright IBM Corporation 1998, 2013. All Rights Reserved.
//
// Note to U.S. Government Users Restricted Rights:
// Use, duplication or disclosure restricted by GSA ADP Schedule
// Contract with IBM Corp.
// --------------------------------------------------------------------------

NbTasks = 122;
NbRsrcs = 4;

Capacity = [ 15, 15, 16, 15 ]; 

Tasks = { 
  < 1, 0, [ 0, 0, 0, 0 ], { 2, 3, 4 } >,
  < 2, 10, [ 0, 3, 0, 0 ], { 5, 13, 93 } >,
  < 3, 4, [ 0, 3, 0, 0 ], { 112 } >,
  < 59, 3, [ 0, 0, 0, 5 ], { 79, 111 } >,
  < 60, 8, [ 0, 0, 9, 0 ], { 86 } >,
  < 61, 1, [ 0, 0, 7, 0 ], { 87 } >,
  < 62, 10, [ 0, 0, 5, 0 ], { 83 } >,
  < 63, 2, [ 3, 0, 0, 0 ], { 65 } >,
  < 64, 7, [ 3, 0, 0, 0 ], { 104 } >,
  < 65, 9, [ 6, 0, 0, 0 ], { 101 } >,
  < 66, 10, [ 0, 3, 0, 0 ], { 78 } >,
  < 67, 2, [ 2, 0, 0, 0 ], { 68, 82, 97 } >,
  < 68, 2, [ 0, 0, 0, 3 ], { 92, 102 } >,
  < 69, 4, [ 3, 0, 0, 0 ], { 115 } >,
  < 70, 5, [ 9, 0, 0, 0 ], { 109 } >,
  < 71, 1, [ 0, 10, 0, 0 ], { 99 } >,
  < 72, 2, [ 5, 0, 0, 0 ], { 78, 119 } >,
  < 73, 6, [ 0, 5, 0, 0 ], { 88, 96 } >,
  < 74, 1, [ 4, 0, 0, 0 ], { 97 } >,
  < 75, 9, [ 0, 9, 0, 0 ], { 78, 96 } >,
  < 76, 2, [ 2, 0, 0, 0 ], { 77 } >,
  < 77, 7, [ 0, 9, 0, 0 ], { 98 } >,
  < 78, 4, [ 0, 0, 10, 0 ], { 84 } >,
  < 79, 5, [ 0, 0, 0, 7 ], { 109 } >,
  < 80, 3, [ 6, 0, 0, 0 ], { 85 } >,
  < 81, 7, [ 0, 1, 0, 0 ], { 96 } >,
  < 82, 8, [ 9, 0, 0, 0 ], { 86, 105 } >,
  < 83, 8, [ 0, 0, 10, 0 ], { 89 } >,
  < 84, 5, [ 0, 5, 0, 0 ], { 100 } >,
  < 85, 1, [ 3, 0, 0, 0 ], { 86, 110 } >,
  < 86, 9, [ 0, 0, 4, 0 ], { 113 } >,
  < 87, 3, [ 0, 0, 0, 3 ], { 110 } >,
  < 88, 2, [ 0, 0, 9, 0 ], { 91 } >,
  < 89, 9, [ 0, 10, 0, 0 ], { 106 } >,
  < 90, 9, [ 0, 6, 0, 0 ], { 92 } >,
  < 91, 7, [ 9, 0, 0, 0 ], { 114 } >,
  < 92, 5, [ 0, 0, 4, 0 ], { 108, 110 } >,
  < 93, 6, [ 0, 0, 0, 1 ], { 102 } >,
  < 94, 6, [ 0, 10, 0, 0 ], { 95 } >,
  < 95, 1, [ 0, 0, 0, 3 ], { 113 } >,
  < 96, 10, [ 2, 0, 0, 0 ], { 120 } >,
  < 97, 8, [ 0, 1, 0, 0 ], { 106 } >,
  < 98, 5, [ 0, 0, 0, 4 ], { 118 } >,
  < 99, 2, [ 9, 0, 0, 0 ], { 111 } >,
  < 100, 4, [ 0, 0, 10, 0 ], { 112 } >,
  < 101, 2, [ 0, 0, 0, 10 ], { 118 } >,
  < 102, 2, [ 0, 0, 1, 0 ], { 107 } >,
  < 103, 6, [ 0, 0, 9, 0 ], { 113 } >,
  < 104, 7, [ 0, 0, 0, 4 ], { 105 } >,
  < 105, 9, [ 6, 0, 0, 0 ], { 106 } >,
  < 106, 8, [ 0, 9, 0, 0 ], { 117 } >,
  < 107, 2, [ 0, 5, 0, 0 ], { 120 } >,
  < 108, 7, [ 0, 4, 0, 0 ], { 111 } >,
  < 109, 5, [ 0, 10, 0, 0 ], { 116 } >,
  < 110, 9, [ 0, 0, 0, 6 ], { 117 } >,
  < 111, 5, [ 0, 0, 0, 7 ], { 116 } >,
  < 112, 7, [ 0, 0, 0, 3 ], { 121 } >,
  < 113, 1, [ 1, 0, 0, 0 ], { 114 } >,
  < 114, 2, [ 0, 6, 0, 0 ], { 121 } >,
  < 115, 4, [ 0, 6, 0, 0 ], { 118 } >,
  < 116, 5, [ 0, 0, 0, 9 ], { 121 } >,
  < 117, 1, [ 0, 0, 0, 1 ], { 119 } >,
  < 118, 2, [ 0, 8, 0, 0 ], { 120 } >,
  < 119, 6, [ 0, 0, 6, 0 ], { 122 } >,
  < 120, 5, [ 0, 0, 10, 0 ], { 122 } >,
  < 121, 7, [ 10, 0, 0, 0 ], { 122 } >,
  < 122, 0, [ 0, 0, 0, 0 ], {  } >
 }; 

